Habitaciones;Banos;Parqueaderos;Area_construida;Area_privada;Estrato;Estado;Anos;Administracion;Ascensor;Circuito_cerrado;Parqueadero_visitantes;Porteria;Zonas_verdes;Salon_comunal;Balcon;Barra_americana;Calentador;Chimenea;Citofono;Cocina_integral;Terraza;Vigilancia;Parques_cercanos;Estudio;Patio;Deposito;Tipo;Precio
1;1;1;23;0;5;Excelente;0;190000;1;1;0;0;0;1;0;1;1;0;1;0;0;1;0;0;0;1;Apartamento;210000000
2;1;0;38,91;35;4;Excelente;0;200000;1;0;1;1;1;1;0;0;1;0;1;0;1;1;0;0;0;0;Apartamento;248000000
1;2;0;40;0;3;Excelente;0;200000;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;Apartamento;198000000
1;1;0;30;30;5;Bueno;0;200000;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;Apartamento;2,45E+11
1;1;0;19,5;18;3;Bueno;0;205000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;205000000
3;2;1;84,42;0;3;No definida;0;209000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;420000000
3;2;1;84,42;0;3;No definida;0;209000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;420000000
3;2;1;84;76;3;No definida;0;209000;1;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;Apartamento;420000000
3;2;1;84,42;0;3;No definida;0;209000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;420000000
3;2;1;84,42;0;3;No definida;0;209000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;420000000
2;2;1;61,08;56;3;Excelente;0;214000;1;1;1;1;0;0;0;1;1;0;1;1;0;0;0;0;0;0;Apartamento;240000000
1;1;0;31,68;30;4;No definida;0;218000;1;0;1;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;Apartamento;242000000
1;1;0;31,68;30;4;No definida;0;218000;1;0;1;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;Apartamento;242000000
1;1;0;64;64;3;No definida;0;218600;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;Apartamento;240000000
1;1;1;57;0;4;No definida;0;220000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;340000000
3;2;1;60;60;3;No definida;0;225000;1;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;Apartamento;280000000
2;2;0;58;58;3;No definida;0;230000;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Apartamento;370000000
3;2;1;117;117;5;No definida;0;250000;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;Apartamento;530000000
2;1;1;46;49;4;Excelente;0;250000;1;1;1;0;0;0;1;1;1;0;1;1;0;0;0;0;0;0;Apartamento;550000000
2;2;1;62;0;4;Excelente;0;257200;1;1;1;0;0;0;1;1;0;0;1;1;0;0;0;0;0;1;Apartamento;360000000
2;2;1;62;0;4;Excelente;0;257200;1;1;1;0;0;0;1;1;0;0;1;1;0;0;0;0;0;1;Apartamento;360000000
2;2;1;55;0;4;Excelente;0;257200;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;Apartamento;380000000
2;2;1;62;0;4;Excelente;0;257200;1;1;1;0;0;0;1;1;0;0;1;1;0;0;0;0;0;1;Apartamento;360000000
2;2;1;55;0;4;Excelente;0;257200;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;Apartamento;380000000
2;2;1;68;65;5;No definida;0;260000;1;0;1;1;0;1;0;1;1;0;1;1;1;0;0;0;0;0;Apartamento;390000000
2;2;1;62;0;4;Excelente;0;260000;1;1;1;1;0;0;1;1;1;0;1;1;0;0;0;0;0;0;Apartamento;366000000
1;2;1;47;41;6;No definida;0;260000;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;Apartamento;560000000
